year,vvp     ,odn  ,scn  ,gpn
1996,2007.8  ,301.0,20.5 ,62.4
1997,2342.5  ,306.0,19.1 ,66.1
1998,2629.6  ,303.0,12.7 ,66.4
1999,4823.2  ,305.0,17.7 ,69.1
2000,7305.6  ,324.0,28.3 ,70.8
2001,8943.6  ,348.0,24.4 ,70.7
2002,10830.5 ,380.0,25.0 ,69.6
2003,13208.2 ,421.0,28.9 ,70.2
2004,17027.2 ,459.0,38.3 ,71.5
2005,21609.8 ,470.0,54.4 ,71.6
2006,26917.2 ,481.0,65.4 ,72
2007,33247.5 ,491.0,72.7 ,71.6
2008,41276.8 ,488.6,97.7 ,72.1
2009,38807.2 ,494.3,61.9 ,72
2010,46308.5 ,505.2,79.6 ,71.2
2011,60282.5 ,511.4,111.0,70.7
2012,68163.9 ,518.0,111.4,71.6
2013,73133.9 ,523.3,108.8,71.6
2014,79199.7 ,526.8,98.9 ,72.4
2015,83232.6 ,534.1,52.4 ,74.3
2016,86010.2 ,547.5,44.0 ,79.0
2017,92089.3 ,546.8,54.53,81.0
2018,103626.6,555.8,72.93,82.2
2019,110046.1,560.2,63.33,82.8
